wavelength,n,k
230,1.0,0.0
245,1.0,0.0
260,1.0,0.0
275,1.0,0.0
290,1.0,0.0
305,1.0,0.0
320,1.0,0.0
335,1.0,0.0
350,1.0,0.0
365,1.0,0.0
380,1.0,0.0
395,1.0,0.0
410,1.0,0.0
425,1.0,0.0
440,1.0,0.0
455,1.0,0.0
470,1.0,0.0
485,1.0,0.0
500,1.0,0.0
515,1.0,0.0
530,1.0,0.0
545,1.0,0.0
560,1.0,0.0
575,1.0,0.0
590,1.0,0.0
605,1.0,0.0
620,1.0,0.0
635,1.0,0.0
650,1.0,0.0
665,1.0,0.0
680,1.0,0.0
695,1.0,0.0
710,1.0,0.0
725,1.0,0.0
740,1.0,0.0
755,1.0,0.0
770,1.0,0.0
785,1.0,0.0
800,1.0,0.0
815,1.0,0.0
830,1.0,0.0
845,1.0,0.0
860,1.0,0.0
875,1.0,0.0
890,1.0,0.0
905,1.0,0.0
920,1.0,0.0
935,1.0,0.0
950,1.0,0.0
965,1.0,0.0
980,1.0,0.0
995,1.0,0.0
1010,1.0,0.0
1025,1.0,0.0
1040,1.0,0.0
1055,1.0,0.0
1070,1.0,0.0
1085,1.0,0.0
1100,1.0,0.0
