wavelength,n,k
300,4.976,4.234
310,5.121,3.598
320,5.112,3.303
330,5.195,3.1
340,5.301,2.977
350,5.494,2.938
360,6.026,2.966
370,6.891,2.171
380,6.616,0.946
390,6.039,0.445
400,5.613,0.296
410,5.33,0.227
420,5.119,0.176
430,4.949,0.138
440,4.812,0.107
450,4.691,0.086302
460,4.587,0.071381
470,4.497,0.062086
480,4.419,0.055004
490,4.35,0.049131
500,4.294,0.044165
510,4.241,0.039367
520,4.193,0.036415
530,4.151,0.033108
540,4.112,0.030295
550,4.077,0.027968
560,4.045,0.025758
570,4.015,0.024131
580,3.988,0.022524
590,3.963,0.021081
600,3.94,0.019934
610,3.918,0.018446
620,3.898,0.017367
630,3.879,0.016444
640,3.861,0.015432
650,3.844,0.014431
660,3.828,0.013498
670,3.813,0.012743
680,3.798,0.011905
690,3.784,0.011201
700,3.772,0.010528
710,3.759,0.010057
720,3.748,0.009626
730,3.737,0.008946
740,3.727,0.008362
750,3.717,0.007819
760,3.708,0.007197
770,3.699,0.00674
780,3.691,0.006393
790,3.683,0.005834
800,3.675,0.005411
810,3.668,0.004995
820,3.661,0.004613
830,3.654,0.004273
840,3.647,0.003944
850,3.641,0.003612
860,3.635,0.003278
870,3.63,0.002984
880,3.624,0.002682
890,3.619,0.002429
900,3.614,0.00217
910,3.609,0.001962
920,3.604,0.001757
930,3.6,0.001547
940,3.595,0.001369
950,3.591,0.001179
960,3.587,0.001024
970,3.583,0.000872
980,3.579,0.000749
990,3.575,0.000622
1000,3.572,0.000509
1010,3.568,0.000411
1020,3.565,0.000324
1030,3.562,0.000248
1040,3.559,0.000187
1050,3.556,0.000136
1060,3.553,0.000094
1070,3.55,0.000068
1080,3.547,0.000053
1090,3.545,0.000041
1100,3.542,0.000031
