wavelength,n,k
300,1.547232,0
301,1.547070,0
302,1.546909,0
303,1.546749,0
304,1.546589,0
305,1.546430,0
306,1.546272,0
307,1.546114,0
308,1.545957,0
309,1.545801,0
310,1.545645,0
311,1.545490,0
312,1.545335,0
313,1.545181,0
314,1.545027,0
315,1.544874,0
316,1.544721,0
317,1.544569,0
318,1.544417,0
319,1.544266,0
320,1.544115,0
321,1.543965,0
322,1.543815,0
323,1.543666,0
324,1.543517,0
325,1.543369,0
326,1.543221,0
327,1.543074,0
328,1.542927,0
329,1.542780,0
330,1.542634,0
331,1.542489,0
332,1.542343,0
333,1.542199,0
334,1.542054,0
335,1.541910,0
336,1.541767,0
337,1.541624,0
338,1.541481,0
339,1.541338,0
340,1.541196,0
341,1.541054,0
342,1.540913,0
343,1.540772,0
344,1.540631,0
345,1.540491,0
346,1.540351,0
347,1.540211,0
348,1.540072,0
349,1.539933,0
350,1.539794,0
351,1.539656,0
352,1.539518,0
353,1.539380,0
354,1.539243,0
355,1.539106,0
356,1.538969,0
357,1.538833,0
358,1.538697,0
359,1.538561,0
360,1.538426,0
361,1.538291,0
362,1.538156,0
363,1.538022,0
364,1.537888,0
365,1.537754,0
366,1.537620,0
367,1.537487,0
368,1.537354,0
369,1.537221,0
370,1.537089,0
371,1.536957,0
372,1.536825,0
373,1.536693,0
374,1.536562,0
375,1.536431,0
376,1.536301,0
377,1.536170,0
378,1.536040,0
379,1.535911,0
380,1.535781,0
381,1.535652,0
382,1.535524,0
383,1.535395,0
384,1.535267,0
385,1.535139,0
386,1.535012,0
387,1.534885,0
388,1.534758,0
389,1.534631,0
390,1.534505,0
391,1.534379,0
392,1.534253,0
393,1.534127,0
394,1.534002,0
395,1.533877,0
396,1.533752,0
397,1.533627,0
398,1.533503,0
399,1.533379,0
400,1.533255,0
401,1.533132,0
402,1.533008,0
403,1.532885,0
404,1.532763,0
405,1.532640,0
406,1.532518,0
407,1.532396,0
408,1.532274,0
409,1.532153,0
410,1.532032,0
411,1.531911,0
412,1.531790,0
413,1.531670,0
414,1.531550,0
415,1.531430,0
416,1.531310,0
417,1.531191,0
418,1.531072,0
419,1.530953,0
420,1.530834,0
421,1.530716,0
422,1.530598,0
423,1.530480,0
424,1.530362,0
425,1.530245,0
426,1.530128,0
427,1.530011,0
428,1.529894,0
429,1.529778,0
430,1.529662,0
431,1.529546,0
432,1.529430,0
433,1.529315,0
434,1.529199,0
435,1.529084,0
436,1.528969,0
437,1.528855,0
438,1.528740,0
439,1.528626,0
440,1.528512,0
441,1.528398,0
442,1.528285,0
443,1.528171,0
444,1.528058,0
445,1.527945,0
446,1.527832,0
447,1.527720,0
448,1.527607,0
449,1.527495,0
450,1.527383,0
451,1.527271,0
452,1.527159,0
453,1.527048,0
454,1.526937,0
455,1.526826,0
456,1.526715,0
457,1.526604,0
458,1.526494,0
459,1.526384,0
460,1.526274,0
461,1.526164,0
462,1.526055,0
463,1.525945,0
464,1.525836,0
465,1.525727,0
466,1.525619,0
467,1.525510,0
468,1.525402,0
469,1.525294,0
470,1.525186,0
471,1.525078,0
472,1.524971,0
473,1.524863,0
474,1.524756,0
475,1.524649,0
476,1.524543,0
477,1.524436,0
478,1.524330,0
479,1.524223,0
480,1.524117,0
481,1.524011,0
482,1.523906,0
483,1.523800,0
484,1.523695,0
485,1.523589,0
486,1.523484,0
487,1.523379,0
488,1.523275,0
489,1.523170,0
490,1.523066,0
491,1.522961,0
492,1.522857,0
493,1.522753,0
494,1.522649,0
495,1.522545,0
496,1.522441,0
497,1.522338,0
498,1.522234,0
499,1.522131,0
500,1.522028,0
501,1.521925,0
502,1.521822,0
503,1.521719,0
504,1.521616,0
505,1.521513,0
506,1.521410,0
507,1.521307,0
508,1.521204,0
509,1.521101,0
510,1.520998,0
511,1.520895,0
512,1.520792,0
513,1.520689,0
514,1.520586,0
515,1.520483,0
516,1.520380,0
517,1.520277,0
518,1.520174,0
519,1.520071,0
520,1.519968,0
521,1.519865,0
522,1.519762,0
523,1.519659,0
524,1.519556,0
525,1.519453,0
526,1.519350,0
527,1.519247,0
528,1.519144,0
529,1.519041,0
530,1.518938,0
531,1.518835,0
532,1.518732,0
533,1.518629,0
534,1.518526,0
535,1.518423,0
536,1.518320,0
537,1.518217,0
538,1.518114,0
539,1.518011,0
540,1.517908,0
541,1.517805,0
542,1.517702,0
543,1.517599,0
544,1.517496,0
545,1.517393,0
546,1.517290,0
547,1.517187,0
548,1.517084,0
549,1.516981,0
550,1.457010,0
551,1.456950,0
552,1.456890,0
553,1.456830,0
554,1.456770,0
555,1.456710,0
556,1.456650,0
557,1.456590,0
558,1.456530,0
559,1.456470,0
560,1.456410,0
561,1.456350,0
562,1.456290,0
563,1.456230,0
564,1.456170,0
565,1.456110,0
566,1.456050,0
567,1.455990,0
568,1.455930,0
569,1.455870,0
570,1.455810,0
571,1.455750,0
572,1.455690,0
573,1.455630,0
574,1.455570,0
575,1.455510,0
576,1.455450,0
577,1.455390,0
578,1.455330,0
579,1.455270,0
580,1.455210,0
581,1.455150,0
582,1.455090,0
583,1.455030,0
584,1.454970,0
585,1.454910,0
586,1.454850,0
587,1.454790,0
588,1.454730,0
589,1.454670,0
590,1.454610,0
591,1.454550,0
592,1.454490,0
593,1.454430,0
594,1.454370,0
595,1.454310,0
596,1.454250,0
597,1.454190,0
598,1.454130,0
599,1.454070,0
600,1.454010,0
601,1.453950,0
602,1.453890,0
603,1.453830,0
604,1.453770,0
605,1.453710,0
606,1.453650,0
607,1.453590,0
608,1.453530,0
609,1.453470,0
610,1.453410,0
611,1.453350,0
612,1.453290,0
613,1.453230,0
614,1.453170,0
615,1.453110,0
616,1.453050,0
617,1.452990,0
618,1.452930,0
619,1.452870,0
620,1.452810,0
621,1.452750,0
622,1.452690,0
623,1.452630,0
624,1.452570,0
625,1.452510,0
626,1.452450,0
627,1.452390,0
628,1.452330,0
629,1.452270,0
630,1.452210,0
631,1.452150,0
632,1.452090,0
633,1.452030,0
634,1.451970,0
635,1.451910,0
636,1.451850,0
637,1.451790,0
638,1.451730,0
639,1.451670,0
640,1.451610,0
641,1.451550,0
642,1.451490,0
643,1.451430,0
644,1.451370,0
645,1.451310,0
646,1.451250,0
647,1.451190,0
648,1.451130,0
649,1.451070,0
650,1.451010,0
651,1.450950,0
652,1.450890,0
653,1.450830,0
654,1.450770,0
655,1.450710,0
656,1.450650,0
657,1.450590,0
658,1.450530,0
659,1.450470,0
660,1.450410,0
661,1.450350,0
662,1.450290,0
663,1.450230,0
664,1.450170,0
665,1.450110,0
666,1.450050,0
667,1.449990,0
668,1.449930,0
669,1.449870,0
670,1.449810,0
671,1.449750,0
672,1.449690,0
673,1.449630,0
674,1.449570,0
675,1.449510,0
676,1.449450,0
677,1.449390,0
678,1.449330,0
679,1.449270,0
680,1.449210,0
681,1.449150,0
682,1.449090,0
683,1.449030,0
684,1.448970,0
685,1.448910,0
686,1.448850,0
687,1.448790,0
688,1.448730,0
689,1.448670,0
690,1.448610,0
691,1.448550,0
692,1.448490,0
693,1.448430,0
694,1.448370,0
695,1.448310,0
696,1.448250,0
697,1.448190,0
698,1.448130,0
699,1.448070,0
700,1.448010,0
701,1.447950,0
702,1.447890,0
703,1.447830,0
704,1.447770,0
705,1.447710,0
706,1.447650,0
707,1.447590,0
708,1.447530,0
709,1.447470,0
710,1.447410,0
711,1.447350,0
712,1.447290,0
713,1.447230,0
714,1.447170,0
715,1.447110,0
716,1.447050,0
717,1.446990,0
718,1.446930,0
719,1.446870,0
720,1.446810,0
721,1.446750,0
722,1.446690,0
723,1.446630,0
724,1.446570,0
725,1.446510,0
726,1.446450,0
727,1.446390,0
728,1.446330,0
729,1.446270,0
730,1.446210,0
731,1.446150,0
732,1.446090,0
733,1.446030,0
734,1.445970,0
735,1.445910,0
736,1.445850,0
737,1.445790,0
738,1.445730,0
739,1.445670,0
740,1.445610,0
741,1.445550,0
742,1.445490,0
743,1.445430,0
744,1.445370,0
745,1.445310,0
746,1.445250,0
747,1.445190,0
748,1.445130,0
749,1.445070,0
750,1.445010,0
751,1.444950,0
752,1.444890,0
753,1.444830,0
754,1.444770,0
755,1.444710,0
756,1.444650,0
757,1.444590,0
758,1.444530,0
759,1.444470,0
760,1.444410,0
761,1.444350,0
762,1.444290,0
763,1.444230,0
764,1.444170,0
765,1.444110,0
766,1.444050,0
767,1.443990,0
768,1.443930,0
769,1.443870,0
770,1.443810,0
771,1.443750,0
772,1.443690,0
773,1.443630,0
774,1.443570,0
775,1.443510,0
776,1.443450,0
777,1.443390,0
778,1.443330,0
779,1.443270,0
780,1.443210,0
781,1.443150,0
782,1.443090,0
783,1.443030,0
784,1.442970,0
785,1.442910,0
786,1.442850,0
787,1.442790,0
788,1.442730,0
789,1.442670,0
790,1.442610,0
791,1.442550,0
792,1.442490,0
793,1.442430,0
794,1.442370,0
795,1.442310,0
796,1.442250,0
797,1.442190,0
798,1.442130,0
799,1.442070,0
800,1.442010,0
801,1.441950,0
802,1.441890,0
803,1.441830,0
804,1.441770,0
805,1.441710,0
806,1.441650,0
807,1.441590,0
808,1.441530,0
809,1.441470,0
810,1.441410,0
811,1.441350,0
812,1.441290,0
813,1.441230,0
814,1.441170,0
815,1.441110,0
816,1.441050,0
817,1.440990,0
818,1.440930,0
819,1.440870,0
820,1.440810,0
821,1.440750,0
822,1.440690,0
823,1.440630,0
824,1.440570,0
825,1.440510,0
826,1.440450,0
827,1.440390,0
828,1.440330,0
829,1.440270,0
830,1.440210,0
831,1.440150,0
832,1.440090,0
833,1.440030,0
834,1.439970,0
835,1.439910,0
836,1.439850,0
837,1.439790,0
838,1.439730,0
839,1.439670,0
840,1.439610,0
841,1.439550,0
842,1.439490,0
843,1.439430,0
844,1.439370,0
845,1.439310,0
846,1.439250,0
847,1.439190,0
848,1.439130,0
849,1.439070,0
850,1.439010,0
851,1.438950,0
852,1.438890,0
853,1.438830,0
854,1.438770,0
855,1.438710,0
856,1.438650,0
857,1.438590,0
858,1.438530,0
859,1.438470,0
860,1.438410,0
861,1.438350,0
862,1.438290,0
863,1.438230,0
864,1.438170,0
865,1.438110,0
866,1.438050,0
867,1.437990,0
868,1.437930,0
869,1.437870,0
870,1.437810,0
871,1.437750,0
872,1.437690,0
873,1.437630,0
874,1.437570,0
875,1.437510,0
876,1.437450,0
877,1.437390,0
878,1.437330,0
879,1.437270,0
880,1.437210,0
881,1.437150,0
882,1.437090,0
883,1.437030,0
884,1.436970,0
885,1.436910,0
886,1.436850,0
887,1.436790,0
888,1.436730,0
889,1.436670,0
890,1.436610,0
891,1.436550,0
892,1.436490,0
893,1.436430,0
894,1.436370,0
895,1.436310,0
896,1.436250,0
897,1.436190,0
898,1.436130,0
899,1.436070,0
900,1.436010,0
901,1.435950,0
902,1.435890,0
903,1.435830,0
904,1.435770,0
905,1.435710,0
906,1.435650,0
907,1.435590,0
908,1.435530,0
909,1.435470,0
910,1.435410,0
911,1.435350,0
912,1.435290,0
913,1.435230,0
914,1.435170,0
915,1.435110,0
916,1.435050,0
917,1.434990,0
918,1.434930,0
919,1.434870,0
920,1.434810,0
921,1.434750,0
922,1.434690,0
923,1.434630,0
924,1.434570,0
925,1.434510,0
926,1.434450,0
927,1.434390,0
928,1.434330,0
929,1.434270,0
930,1.434210,0
931,1.434150,0
932,1.434090,0
933,1.434030,0
934,1.433970,0
935,1.433910,0
936,1.433850,0
937,1.433790,0
938,1.433730,0
939,1.433670,0
940,1.433610,0
941,1.433550,0
942,1.433490,0
943,1.433430,0
944,1.433370,0
945,1.433310,0
946,1.433250,0
947,1.433190,0
948,1.433130,0
949,1.433070,0
950,1.433010,0
951,1.432950,0
952,1.432890,0
953,1.432830,0
954,1.432770,0
955,1.432710,0
956,1.432650,0
957,1.432590,0
